id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid0FPLQrxzQWPTXSfJSR9Ju8Xrar2djrnhSY8HdPF83YqbaQCFwkNLiykRPLmykjY3bl,Arnold Schwarzenegger,44,2000,298,0,0,0,0,0,2298,199,Last week’s newsletter challenge was to reconnect with an old friend. I practice what I preach. I had a zoom with a friend and old competitor I hadn’t hung out with in 50 years. And it felt fantastic. Join us at the link in my bio.,2023-07-19T23:45:16.972792,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/362222559_831710718315996_7516030502066471494_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=6ZTrkDw3-JoAX-Y5awr&_nc_ht=scontent.fsog1-1.fna&oh=00_AfA-oiTyMtstaIuu3A4KNU_d08kuw5mld1TvDmJYY6cTHA&oe=64BDED72 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/362233029_831710721649329_2299954112496093390_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_ohc=1Z2rR19PiD4AX9Rn5cx&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDIk8AH0ZPFPkDKhmao4-VjZ3dRTa7gAoDCy7PMvpHxEQ&oe=64BF568F https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/362235197_831710714982663_4780201947620960309_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_ohc=sL_e2glgLWIAX8gRF78&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDLnONbxdkHbQs_Rirq5fGQklZMzrtMOogkjWimqdYFVg&oe=64BDCC88 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-1/348810647_949135096507011_6134075623000518856_n.jpg?stp=dst-jpg_p100x100&_nc_cat=111&ccb=1-7&_nc_sid=dbb9e7&_nc_ohc=HVoT4QCUoW4AX9WVG6m&_nc_ht=scontent.fsog1-1.fna&oh=00_AfAc29u6Bu1eNLaaKosMZqnfVv-lZFOADmLkfxBa6QCSAw&oe=64BE92FC,https://www.facebook.com/arnold/posts/pfbid0FPLQrxzQWPTXSfJSR9Ju8Xrar2djrnhSY8HdPF83YqbaQCFwkNLiykRPLmykjY3bl?__cft__[0]=AZVSUxZdZnYxmnP5Gbkd4VC3-ASWySbAf7ucEm668LMz40YZqRuL_s_ymR1sjfnhBJdbvN2mDncV9mOjYmBOJ5z59xR7f34_1_BjPxJBRTmwU9JUDQYER2YEtBqjWEsu8umPgb1gUzbLS2pOaAOBAzT5HCMU51AdN5jCE7ZfN_19IaADyo9oQ0KCqw68YzZui0fOr785bH1NYPqMCIfkXEEL&__tn__=%2CO%2CP-R
pfbid021CSFxeARopTrdgFqPyZ4dnV9xRYLPSXGaYjfFU8kUPy9U82y5RZUZybKA78V5c5Bl,Arnold Schwarzenegger,200,6700,992,0,0,0,0,0,7692,993,"Enter for a chance to win an early copy of my new book, ""Be Useful."" Click the link below to get started! US fans only! https://sites.prh.com/beusefulsweeps",2023-07-18T23:45:17.640651,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361615751_831301398356928_4273196463539312453_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=-pJpQ68b2O4AX-JSCpf&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCa7NvbG2Id2qZjF_IHJ5-KLQkNNEQyCJpD67n7LaL_SA&oe=64BDC2A5,https://www.facebook.com/arnold/posts/pfbid021CSFxeARopTrdgFqPyZ4dnV9xRYLPSXGaYjfFU8kUPy9U82y5RZUZybKA78V5c5Bl?__cft__[0]=AZVc5fGJbK3UTbTSdtJ8htIoBXaf4RQIJo9hA5i7WL4yO-YUuYqPBYI1Ts3pG89U3s6r0b2NgKWvBjpM7QGyOi7Imyxb4E7UF7LxYmyBsXafjxvQ2b-kUvy7gXnQR5C4Id_i1stReBdwGEocak7bflZRRjTBH5OFAz8R7S11LXAM0NQl8Z6PVE2pYhR_NY04GKUnK6FdtGDmVSZm0ey4kiKz&__tn__=%2CO%2CP-R
pfbid02nPNRKhgob9Y3B38QDBQNZs6oMLcPWtovEh6qF9TXPbXgG38pMgUrinnyXYb7eHhpl,Arnold Schwarzenegger,228,3400,375,0,0,0,0,388,4163,409,"Arnold’s Pump Club, my free daily newsletter to terminate all the noise and negativity in health and fitness. Join us at the positive corner of the internet at the link in my bio.",2023-07-17T23:45:18.044161,['blob:https://www.facebook.com/3b42ea7a-93b4-463b-8cef-01c990ce74d3'],https://scontent.fsog1-1.fna.fbcdn.net/v/t51.36329-10/361409492_1029008214934845_5415759487629548941_n.jpg?stp=dst-jpg_s960x960&_nc_cat=1&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=UVT8lOEKpPcAX_GA0Bt&_nc_ht=scontent.fsog1-1.fna&oh=00_AfA9QEDQy7w1n9nNUoVj5y9kfN6q2fng6wAypMF4LYAMtA&oe=64BF8CBC,https://www.facebook.com/arnold/posts/pfbid02nPNRKhgob9Y3B38QDBQNZs6oMLcPWtovEh6qF9TXPbXgG38pMgUrinnyXYb7eHhpl?__cft__[0]=AZUuIpSRUDGnpHvLZO7NZEuVae6s_CMrZs5-oM9DXu2CZhUKquG7nhlgo4IdTfOfMCOsYjn94my0q_qWdoUMn-qAnomD7yXMTOCmqZQLQr5GYDR4yAPX-wD9kU62P6C54WtKvysP6B4-ffIqodbw072iSv1zIwpd-BLpzCa77vVEiMQUnPIz5sdhhpaHVLHcoCO3sUoqQaB3ngLtP1JAnnva&__tn__=%2CO%2CP-R
pfbid029w4YnpNvWzT5E9QUCdGwrnjwkgFECtpKYYJbbydFJB377k1wu2wHcgXcyFCNboKdl,Arnold Schwarzenegger,122,5200,712,0,408,0,0,0,6320,298,"Ralph Crawford was a great artist and a fantastic friend, and I will miss him. He will live on through his sculptures all over the world and through his loving family and friends. I am tremendously proud that Ralph’s statues of me stand in front of my childhood home and in Columbus, Ohio, and we will continue to give the best bodybuilder in the world the trophy that Ralph sculpted at the Arnold Classic every year. My thoughts are with his family.",2023-07-17T23:45:18.303717,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361616399_830382065115528_4241291091548422165_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=d2gYFlGowcoAX_j4y7O&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBs58zw7MMpygweCpJgV1h7pUI9OfTN1fBCubC_-WfiXA&oe=64BEFA88 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361615871_830382071782194_804818438600999798_n.jpg?stp=dst-jpg_p480x480&_nc_cat=1&ccb=1-7&_nc_sid=730e14&_nc_ohc=4W6o5yiVNTwAX9UDpr0&_nc_ht=scontent.fsog1-1.fna&oh=00_AfD21KL3FyiUFjUkRVHb5zxw-H_6GUr7PAn_dHCS4Z2NkQ&oe=64BF62D8 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png https://external.fsog1-1.fna.fbcdn.net/emg1/v/t13/1841346539831828221?url=https%3A%2F%2Fmedia3.giphy.com%2Fmedia%2Fui0Qh8Gqz8j1LQ67YS%2Fgiphy.gif%3Fcid%3D120c0147mhh51sitiy711figmvuaa34neqq95h8pv5rvapu1%26ep%3Dv1_gifs_search%26rid%3Dgiphy.gif%26ct%3Dg&fb_obo=1&utld=giphy.com&stp=dst-gif_q75&ccb=13-1&oh=06_AbE7HIkOlSGfZ-IZqtOk9juSZ0-zByasYUHuN3vJG7ZlDg&oe=64BB569E&_nc_sid=645d17 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-1/341331309_552746576995770_957441488826774315_n.jpg?stp=dst-jpg_p100x100&_nc_cat=110&ccb=1-7&_nc_sid=dbb9e7&_nc_ohc=_RE9zvDHsZgAX9RkOt7&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCPvuDz0Sj5_JZ_yFJeMNd_yRvlHSsV800WH62I5zt0bg&oe=64BDCE7B,https://www.facebook.com/arnold/posts/pfbid029w4YnpNvWzT5E9QUCdGwrnjwkgFECtpKYYJbbydFJB377k1wu2wHcgXcyFCNboKdl?__cft__[0]=AZX1hLNGO8uC7vxHx2qnH-eX8OPgQ2JscnpZjU54mHlwikBLZ-fHX83uKlVvJNbPC2oILlKN0shqyDCgd_NUX2r2BKpYu8orCPmbWPyI_zZj0W8r9YbzYCQJ6hUEbp2-BVNlyNBYSROaTp42xBFdYjrz3K4krPOZ07YdpYkp-ePSSNvVGIqjzSj16fYSa9NOG_sHdZN1dBLhjJ26zlxx5CP4&__tn__=%2CO%2CP-R
pfbid0hfag6qTybhsB7EKHgo4v7tPRz7kWFkCtZsKym7bb6mCSHFj7iz22nHF1uEpTmv7ol,Arnold Schwarzenegger,60,3600,489,0,318,0,0,0,4407,168,"Ralph Crawford was a great artist and a fantastic friend, and I will miss him. He will live on through his sculptures all over the world and through his loving family and friends. I am tremendously proud that Ralph’s statues of me stand in front of my childhood home and in Columbus, Ohio, and we will continue to give the best bodybuilder in the world the trophy that Ralph sculpted at the Arnold Classic every year. My thoughts are with his family.",2023-07-17T23:45:18.925888,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361608776_830380855115649_5761347814828869128_n.jpg?stp=dst-jpg_p600x600&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=yFZynNqUnLAAX-NTPu3&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDt2LNyW_LTTECEtEmJBXoC4yvCP3eWMHujYvZv0i3YKw&oe=64BF7DDF https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361568932_830380858448982_5133609920476609515_n.jpg?stp=dst-jpg_p600x600&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=3oJ4ny2Hz44AX85fnb8&_nc_ht=scontent.fsog1-1.fna&oh=00_AfAG_ZNBPbajvcUnD4YkVUIopjCeoBKBFI0Hg34JDT7uYA&oe=64BF59CA,https://www.facebook.com/arnold/posts/pfbid0hfag6qTybhsB7EKHgo4v7tPRz7kWFkCtZsKym7bb6mCSHFj7iz22nHF1uEpTmv7ol?__cft__[0]=AZU2aGQZn-ZVwdUKpAnjC9wevA2DZp5WjJ4G9a4E7a-xRpWFRWq_Ep4HtVpQ60sLpJBiaTgeOGI1GnWas6e0iWpoYVLaiGOJUEAFZIVPBN_WVIW_0tU4cSJEqHHUoi6clwERsy2Krr3F2Ks6UyFABFdgPTI9HPqQqczCIUuGefs-onM2L9Y11qu0xzUt5rfLfHFAOIHu34jnQrBy1D7NxE4v&__tn__=%2CO%2CP-R
pfbid02Lrore8kBgi4rwXK1VsnxJXgr1yjZ8AdE8UEfSzVNpZDuPSeJtESceVZUw83tJNFWl,Arnold Schwarzenegger,0,22000,3700,0,0,0,0,0,25700,0,Let’s be honest. There are a lot of shysters in health and fitness who have something to sell you. I started #ArnoldsPumpClub to cut through the bullshit. Fads and trends come and go. Not me. I’ve been pumping people up for more than 50 years. Join our village at the link in my bio.,2023-07-13T00:20:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/359367714_828302345323500_3790793291590343393_n.jpg?stp=dst-jpg_p526x395&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=kqV0mt22OCkAX_OmS6u&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBC1lfKSfwpunTyHbeTA2V5C2HCsm1VjOiJOPQ3bS3QmQ&oe=64BF0333 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/359458971_828302348656833_7925309934468064378_n.jpg?stp=dst-jpg_p526x395&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=UhC74WK2z08AX_lpoU_&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDlXictjJmGSkPS43vuANq2hrs6BDfJVP9uRw7YTTq7lw&oe=64BE2212,https://www.facebook.com/arnold/posts/pfbid02Lrore8kBgi4rwXK1VsnxJXgr1yjZ8AdE8UEfSzVNpZDuPSeJtESceVZUw83tJNFWl?__cft__[0]=AZU6GrB_QYLIv57EX3_MDFbcQv6xOqw5dSqR7O4LrvFm_WRnXKi682OBJfXhvyFKd-mWwROpU9Umdm7Xmv1Y08td7y1v5lKIavGq9_q-504JenXZffs3QYaHEkBhGtnXx0PmUc9W1Vws_GmXR1pLBuXHjY5ke9vuLfaxd6M50_ns7xkuufoV5S-uB8ZF4YTTTzWU2j_ZZ4EXW68IuUlx93nn&__tn__=%2CO%2CP-R
pfbid02G4efCho7HZYMy5RpfssYF7dHuVSxfLcpfccyFTUsNHiRCNHsHLDq1FfsrocyWQp8l,Arnold Schwarzenegger,0,2000,198,0,0,0,0,614,2812,0,"Join our positive corner of the internet, and see why everyone in our village is fired up to open their email every morning. Link in my bio ",2023-07-12T18:19:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358588735_828167045337030_9130104449656154937_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=H2lrlnVDLgYAX-6MiPN&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCye-tKIrfMumxQ9UoMcTCwjCwcAvkmo7tWZtcyiC7GDA&oe=64BF5683 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/arnold/posts/pfbid02G4efCho7HZYMy5RpfssYF7dHuVSxfLcpfccyFTUsNHiRCNHsHLDq1FfsrocyWQp8l?__cft__[0]=AZX3D_V7-z9r5dMd9DztR0q_478w9gEarc_xQoJN9ERVb9pOMDc-2AQ5sQlZF58F-Aq9n8n4CbiEDI7Msfwkxx6MHeffHDMQy-lby-7EIn6bPmglQPJYwNjgq8N6vLuwoLEFIFoCp1AUnzBCSKu6BgiMZFRL7QQe_HBrmh86C-BhGY6KxzvPAZRL1iUfbJ63pBGZwIYZ62Sv46OK0-i0sa9N&__tn__=%2CO%2CP-R
pfbid07ZEsAGoWM2Zab49QCvsCP8jWA2mQPcgzmLn4nHq2WrhbGVfXn45gPu8NiYkZeFMpl,Arnold Schwarzenegger,0,5100,808,0,0,0,0,0,5908,0,Pancakes and ice cream? In a fitness newsletter? Yes. Get the Arnold’s Pump Club recipe book now - it’s free. https://schwarzenegger.ck.page/60b444ae6c,2023-07-11T18:01:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358460520_827677845385950_5855671871533975287_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=WVo_cTjsKUQAX8Xns2H&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDLmYhs0S9RNVBZa0sLxO3_57DEHK-EUaeg7wQEPPzbNw&oe=64BE0816 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358719428_827677842052617_3145646160921684755_n.jpg?stp=dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=vtUSir6AfpwAX-XDofG&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBcC0jFwPkTzjZ8ubZVLHUhiqPTMoe51Z5njktjB-i9EQ&oe=64BF188A,https://www.facebook.com/arnold/posts/pfbid07ZEsAGoWM2Zab49QCvsCP8jWA2mQPcgzmLn4nHq2WrhbGVfXn45gPu8NiYkZeFMpl?__cft__[0]=AZVhGZIEpKGurg6f4eYyyzlYJ4fCx0VhEk_T9V07CirnQc6hDPqq7otH1IDydFpxk4foqjkYz_HXUsWLMGc97koOCvyyF4bT2zxOW_O6pRPzBbybs31sGLE5oHXxo1IP_TJxch1P7lXfOnIYjB_9bg1aEW6nWHZ0S7pO98H-vwrcDdJ2bSq3yERlnQkcCGkmEZArqojyVf6UENkJeQgirnKj&__tn__=%2CO%2CP-R
pfbid0WqQQmrbDn6ENLbhhDPvpDyRXxwXUkvzc4vQ4h4g6eDK6Gv3V7hnEzcUVcvsnTk9kl,Arnold Schwarzenegger,90,2600,485,0,0,0,0,0,3085,346,"We are more than halfway through the year. Do you remember your New Year’s resolutions? When I started my newsletter in January, I gave our readers this e-book with my system for making those resolutions a reality. It’s never too late to restart. Check it out: https://schwarzenegger.ck.page/13d72d7d8f",2023-07-10T18:33:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358600772_827180202102381_1655411157971821750_n.jpg?stp=dst-jpg_s720x720&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=VvZD5BWKd38AX9sL6UW&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDTKl95JCyovjBD95QFTKVBDhScd4HkMff88d57V2pSgw&oe=64BF33CA,https://www.facebook.com/arnold/posts/pfbid0WqQQmrbDn6ENLbhhDPvpDyRXxwXUkvzc4vQ4h4g6eDK6Gv3V7hnEzcUVcvsnTk9kl?__cft__[0]=AZWVwMFa4BTOUYUGwEMZAfb-6dcSFrOXAizd5YGyC4w0dkMt-bXiShSWRLfM8BzKBM0iLGMYzc5LY9q9yCFwUMwyRSJBN9_THP4x38L2Z_xHv5aee8T8E8ddKt3l1ZNIjbqofOKGF388H2g8aUkPZalqEQh-zOeRa2EjBu-vlifGfb87o70Nh0TED7eUy89Dq7W4PYbGsUi3LX1VRNjiKLFJ&__tn__=%2CO%2CP-R
pfbid0snauEwXVkKYpgBrAkKHXY2ePHYtUundzNXkXYB1wFMVfqfuehYbgm3vea6FgDPyBl,Arnold Schwarzenegger,99,2200,410,0,0,0,0,0,2610,337,"Some newsletters do a limited-time thing with free e-books. I don’t believe in that, so when you sign up for #ArnoldsPumpClub, my welcome email has every e-book we’ve released. Click the link in my bio!",2023-07-08T20:36:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358122628_826124002208001_4659220606765779712_n.jpg?stp=dst-jpg_p600x600&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=PYE4bRIkJmkAX-IjrWl&_nc_ht=scontent.fsog1-1.fna&oh=00_AfAB3IkGnrZzDyMX8PXvIKawW7hjtOSj-w_QpjAXAvTBQg&oe=64BDED68 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358699158_826123995541335_1201309274677640414_n.jpg?stp=dst-jpg_p600x600&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=7He6GOdizQsAX960mwj&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCNqwiXf_jTrl0OfOkbOBvW3mnttATmc5AcM4NahesHuw&oe=64BE4BC0 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358461353_826123998874668_1684395087769773293_n.jpg?stp=dst-jpg_p600x600&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=rHMFQC0ZxnoAX_uJyC4&_nc_ht=scontent.fsog1-1.fna&oh=00_AfD2qUqtQ0P_WEMaZm9dG1kmJVkqowFkYzukvsyYGYl88A&oe=64BEC706,https://www.facebook.com/arnold/posts/pfbid0snauEwXVkKYpgBrAkKHXY2ePHYtUundzNXkXYB1wFMVfqfuehYbgm3vea6FgDPyBl?__cft__[0]=AZUCZjireFHH8jXNkMDG9QWedQIo3wTloHVjjmbkqZwa7GNSvX4F9sK0Gonbh5skqTxHdn5S_ubabJF7t0p7BJVPIMJblOWfbteC9x-6vKpWC0sqCvzQH2Y3hk2L5wHBnf7_1Tkg2xFEW9u6uwEJyNhCkUcaoNvRXQBTAw7SmDE-89a6Jsjc-u5wLo73bwz4eNa3b_kaJvJgobkMqi59lqmg&__tn__=%2CO%2CP-R
