id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid06qxiWJzQJDje1Z6vNyn9DsEQ4Zjr5Az5B5UBow9G8xJ9bZ9wUYXFmKcgBrSchTAHl,Arnold Schwarzenegger,964,39000,9900,0,0,0,0,0,48900,2400,"Schnelly, Schnitzel, and Dutch demanded more time in the spotlight.You can get my free Pump Club recipe book at the link in my bio.",2023-07-08T00:45:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358041565_825612938925774_1065935431606101836_n.jpg?stp=dst-jpg_p180x540&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=NtTVEliFEdsAX_MbQEL&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBZ9CsG1KVQ5NP6o7kFcTwwa-DL68I41R5tlFVRI4rqUA&oe=64C52394,https://www.facebook.com/arnold/posts/pfbid06qxiWJzQJDje1Z6vNyn9DsEQ4Zjr5Az5B5UBow9G8xJ9bZ9wUYXFmKcgBrSchTAHl?__cft__[0]=AZUVF6qL7XeAS3QDyGLi8RBwzxhCQ2n8osy2G5hGyqSvo6qSc7xocbQZmhX1tftqX3OphFiRR0zsAag6uuQbRxZAckF7jwWmxBNcqFK_movZ0KpDzydlUDTfuA0u6rwyQYVM3FL4g39ZlNfkvSrcgYjuLSeXpt5p1CX5ycehw0jki6BYhI46Ehq5mbfAH1DSX-qJLJMIZHSl3KdG0zxAGAAZ&__tn__=%2CO%2CP-R
pfbid02wmg8PyV3nRBZa3dyu4JwnJZRg4twcA8s49M3dD6HRPyEaNjgYqAJQWeFwjfz9uSYl,Arnold Schwarzenegger,104,2200,414,0,0,0,0,0,2614,337,"Some newsletters do a limited-time thing with free e-books. I don’t believe in that, so when you sign up for #ArnoldsPumpClub, my welcome email has every e-book we’ve released. Click the link in my bio!",2023-07-08T20:36:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358122628_826124002208001_4659220606765779712_n.jpg?stp=dst-jpg_p600x600&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=6DW_XR1IaNEAX9YOGHD&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDaFWunorXB0CLLX6Hmk1bp4TpooygQ70txEOKb-QXdEQ&oe=64C3DC28 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358699158_826123995541335_1201309274677640414_n.jpg?stp=dst-jpg_p600x600&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=PFH5DWm5wVUAX8YFPdI&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCSbOPPxlkm0cOiK2I6OXTDBiWKVL4ux23dULoBHypBnQ&oe=64C43A80 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358461353_826123998874668_1684395087769773293_n.jpg?stp=dst-jpg_p600x600&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=AeEbcrJhqIQAX-KpuwK&_nc_ht=scontent.fsog1-1.fna&oh=00_AfA3B5DB8DP5_mTDGAHLCs1qTpqwW12_3VxXHIlWBDJ7GQ&oe=64C4B5C6,https://www.facebook.com/arnold/posts/pfbid02wmg8PyV3nRBZa3dyu4JwnJZRg4twcA8s49M3dD6HRPyEaNjgYqAJQWeFwjfz9uSYl?__cft__[0]=AZVQVpP042qIdOs1Rajgl24Amqoer-UK5Qbm6IXT7l6vaBIq1544kLnp1Ea5tTwDWP2o9oK_bBR7RXrd6C86wbctLYBrZcbugkyyP5F8KWvqralldSm-qStTuIoo62B7Npvnn8q_RE9gyo41328WWZLrGTOO3gpblA33FXjrluYM_MjGdroy6rQ7-c0pBMI4KvfwYamp0vUjsPK8e-TPF6NP&__tn__=%2CO%2CP-R
pfbid02aLY7NEyZzVKNQxkce1ixF4aNRJ2KNs9NNMhWCtYN3tfE6RBqKft3cVDTJMjbX32rl,Arnold Schwarzenegger,96,2600,493,0,0,0,0,0,3093,346,"We are more than halfway through the year. Do you remember your New Year’s resolutions? When I started my newsletter in January, I gave our readers this e-book with my system for making those resolutions a reality. It’s never too late to restart. Check it out: https://schwarzenegger.ck.page/13d72d7d8f",2023-07-10T18:33:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358600772_827180202102381_1655411157971821750_n.jpg?stp=dst-jpg_s720x720&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=N6koHK1CZYcAX_jkYhZ&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCczLQVcyuMb9Mq1XrH-RHcylaGfUwcHgHlWJXkaqq1mA&oe=64C5228A,https://www.facebook.com/arnold/posts/pfbid02aLY7NEyZzVKNQxkce1ixF4aNRJ2KNs9NNMhWCtYN3tfE6RBqKft3cVDTJMjbX32rl?__cft__[0]=AZW6NVtbvovQTX4Q1HS4ulQaVS99VGBIFdJTwfF5m1_oou0m5Eahdq5KfzdgbS29AOzoDCFi0M9pSINe9b0dGb4tzK72Me8WikPCr3xT0GOl6iD5fR3FxkzsKZVQak9ltPBq_e2ykcl-HPa8rA_V2gY4HDTxKQCOG24H-fHvRt81hys8K874Y5Guo8lXH-xZ8hBogsBGrnDmcr2XZrvSN4r0&__tn__=%2CO%2CP-R
pfbid02B4NZkfBrZKbTWSeDokh7We2XkTf4QZM28d6eZQ22ydBPirHfGoRu5erwqxJz5Kuyl,Arnold Schwarzenegger,107,5200,816,0,0,0,0,0,6016,385,Pancakes and ice cream? In a fitness newsletter? Yes. Get the Arnold’s Pump Club recipe book now - it’s free. https://schwarzenegger.ck.page/60b444ae6c,2023-07-11T18:01:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358460520_827677845385950_5855671871533975287_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=5iC-10YOmNUAX-_LlpM&_nc_ht=scontent.fsog1-1.fna&oh=00_AfAyB90mUfDF7JMMS66lnUxmWwXjyAGNLr1QSNOwnV4cpg&oe=64C3F6D6 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358719428_827677842052617_3145646160921684755_n.jpg?stp=dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=c2WOY8RLL3gAX8Xu4XM&_nc_ht=scontent.fsog1-1.fna&oh=00_AfD51-cX1zXlb7rz216coxvkXG9o7aLU0Y_9kxoCSMZC4w&oe=64C5074A,https://www.facebook.com/arnold/posts/pfbid02B4NZkfBrZKbTWSeDokh7We2XkTf4QZM28d6eZQ22ydBPirHfGoRu5erwqxJz5Kuyl?__cft__[0]=AZWER2pjMM3Qe6RlXbg7nN9N3lx4OJMOcSL35eBVNIO7r-bxgHZmvtaSjQKlnCjiVcYz5pL5rmAxVVMf4VriYcKGhcybP-DFxYt2A1Va4bulj_h3ed6QRmERJhZ_iV_KQwJDxoaN70bixeVu8HmLeKBtIVAablCqbvj9f0EoM9C4UkLEnHBBJMsLJXb050Lp5pFSUxjJ6J2vNmiZIwOXmYCR&__tn__=%2CO%2CP-R
pfbid0CAhThFdGoJUNgWEwWRPHR27ghy7U7k3J2n1SwE57JFnBBefAFNgG436Dax7HiqEol,Arnold Schwarzenegger,43,2000,201,0,0,0,0,622,2823,253,"Join our positive corner of the internet, and see why everyone in our village is fired up to open their email every morning. Link in my bio ",2023-07-12T18:19:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358588735_828167045337030_9130104449656154937_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=9fMldsXMEUIAX9T_7Zu&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBGKRi9AYxVROWM0ECHB4cyyIgpSs3dl4nwXkMevckoBg&oe=64C54543 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png https://scontent.fsog1-1.fna.fbcdn.net/v/t39.1997-6/122841908_812223766267933_3152842039885787285_n.png?stp=dst-png_p403x403&_nc_cat=1&ccb=1-7&_nc_sid=0572db&_nc_ohc=5bienieRGzUAX80yVG2&_nc_ht=scontent.fsog1-1.fna&oh=00_AfA9anPfxmonvwb_l06bYRdUUSUVWgsQQ6OPgek7vZ-1Gg&oe=64C4C99F,https://www.facebook.com/arnold/posts/pfbid0CAhThFdGoJUNgWEwWRPHR27ghy7U7k3J2n1SwE57JFnBBefAFNgG436Dax7HiqEol?__cft__[0]=AZW_ixyG2Q0nuIu8oxebU7ow3Ny9bvDjzBTW_fCxu782eyqCTrRdxsxyocZ9iYGnaNjUA-NW5wf_wkLTkMmxszzJXD6nW1y47MbJTH9pEJ0E5mV8dXlAMwQ08NQcaWvTfX6zaLDviScCuD29fHxzzSyljcHbSZiovVGkbMOjToh9hCRUjEYR47q_RjISx2suQkorPG3WuTKOyACYC5R_O81Y&__tn__=%2CO%2CP-R
pfbid02LzTNcVmusCDpGCfM8eR7JVcrQ6u61dsXawxKiSsApUTK6iRMXwDp9mnerxQV5nVvl,Arnold Schwarzenegger,0,22000,3700,0,0,0,0,0,25700,0,Let’s be honest. There are a lot of shysters in health and fitness who have something to sell you. I started #ArnoldsPumpClub to cut through the bullshit. Fads and trends come and go. Not me. I’ve been pumping people up for more than 50 years. Join our village at the link in my bio.,2023-07-13T00:20:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/359367714_828302345323500_3790793291590343393_n.jpg?stp=dst-jpg_p526x395&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=8jD5XSa_FxUAX_dNMYq&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCE3MotS2LMpmWT1lVYN9dwSO097Bpgf_gPXzwqvhhrmw&oe=64C4F1F3 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/359458971_828302348656833_7925309934468064378_n.jpg?stp=dst-jpg_p526x395&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=QRPo44t7vfIAX_iQ5Vs&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCxKB76IKdjgE0oI7yQafQLTbhb2UQqAWe-dXE0Ib0REg&oe=64C410D2,https://www.facebook.com/arnold/posts/pfbid02LzTNcVmusCDpGCfM8eR7JVcrQ6u61dsXawxKiSsApUTK6iRMXwDp9mnerxQV5nVvl?__cft__[0]=AZUeomH7-QW19-Jykg_j4oril19_b2DFnqpwoxXjRNHIrL0Z3mgHrZ5a-g2qBQbSaij9O1BgXKeqqSuhYc_LQ3J9z4wvE_YIfa0YYdJAim7ieGoqy-4xoiMIrrJAc7F822akxSOJVaKOE5aAfQCN3CB30TAQ8y1T0rz2ZU5-VjSwihzUTf6SjvaZWMbPiaqVEZgorVe-M24zcXOD1UcHI2FX&__tn__=%2CO%2CP-R
pfbid0hoEC5CVhnPXPqicWja8fyFyKy1sQ36o6qkXTmNYGdutGwfWmrxXi1y6U7PiYvfpJl,Arnold Schwarzenegger,0,3700,508,0,324,0,0,0,4532,0,"Ralph Crawford was a great artist and a fantastic friend, and I will miss him. He will live on through his sculptures all over the world and through his loving family and friends. I am tremendously proud that Ralph’s statues of me stand in front of my childhood home and in Columbus, Ohio, and we will continue to give the best bodybuilder in the world the trophy that Ralph sculpted at the Arnold Classic every year. My thoughts are with his family.",2023-07-17T03:35:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361608776_830380855115649_5761347814828869128_n.jpg?stp=dst-jpg_p600x600&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=PZazqjFFsJUAX9KmE25&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBnB23Xw3wac7v4nnaCLQicZqOuOV34w6aYZYUgDSOgDQ&oe=64C56C9F https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361568932_830380858448982_5133609920476609515_n.jpg?stp=dst-jpg_p600x600&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=AbhCRMFqS70AX8snPe5&_nc_ht=scontent.fsog1-1.fna&oh=00_AfA9UUwATUtkuIi1-Optea_efpaJhvdqgCtHlOlIHEzpeg&oe=64C5488A,https://www.facebook.com/arnold/posts/pfbid0hoEC5CVhnPXPqicWja8fyFyKy1sQ36o6qkXTmNYGdutGwfWmrxXi1y6U7PiYvfpJl?__cft__[0]=AZVWNnxrfsoi2LFq7hhvKoOyhRkUukq85RzmF6b74KSpwp1wj8uNjNaLimkqpmUG9e5wRt_cGxdeXIWjOQDxO1lZ6eVUhFOPtpGAv8dJiGzVYjlk5dzZeQRqTpm2i8BCDW6L8GBMPvVVrohwFd1C-QxxXLdNQJmpbJ0pPi9EYW0-IZZcnMyEueobCX07l-irjZcep-8lRuk9Yk7U7Rzx4sDo&__tn__=%2CO%2CP-R
pfbid0637MHND62hYSi1Tdz9iQ3v9y6myvXZ2UKbhVXDo3MUVrHi4yvppSUR8UbAPEsPtxl,Arnold Schwarzenegger,0,5500,757,0,421,0,0,0,6678,0,"Ralph Crawford was a great artist and a fantastic friend, and I will miss him. He will live on through his sculptures all over the world and through his loving family and friends. I am tremendously proud that Ralph’s statues of me stand in front of my childhood home and in Columbus, Ohio, and we will continue to give the best bodybuilder in the world the trophy that Ralph sculpted at the Arnold Classic every year. My thoughts are with his family.",2023-07-17T03:38:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361616399_830382065115528_4241291091548422165_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=pasTwI9QmPkAX8uVAJy&_nc_ht=scontent.fsog1-1.fna&oh=00_AfB5BcgfpoVeymGH1SwXjwi4RQpxff_JV4R7ctPXrSuqkA&oe=64C4E948 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361615871_830382071782194_804818438600999798_n.jpg?stp=dst-jpg_p480x480&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=dAwZSp_YYlEAX8esCD_&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDxCmkLOGLcGaePbXCVNMGIh579cKSuzBeit4OKVBQBww&oe=64C55198 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png https://external.fsog1-1.fna.fbcdn.net/emg1/v/t13/5574045237532536707?url=https%3A%2F%2Fmedia3.giphy.com%2Fmedia%2Fui0Qh8Gqz8j1LQ67YS%2Fgiphy.gif%3Fcid%3D120c0147up66n2n0t8ahr5l72re57mkc0tu67vwwpmdg99cs%26ep%3Dv1_gifs_search%26rid%3Dgiphy.gif%26ct%3Dg&fb_obo=1&utld=giphy.com&stp=dst-gif_q75&ccb=13-1&oh=06_AbFordPcfqBfvCG3cZj2SXkUV64PMa7dloz8mYxj5OG28g&oe=64C1B647&_nc_sid=645d17,https://www.facebook.com/arnold/posts/pfbid0637MHND62hYSi1Tdz9iQ3v9y6myvXZ2UKbhVXDo3MUVrHi4yvppSUR8UbAPEsPtxl?__cft__[0]=AZUGQPQWkHdAmDHgFQMTt_FGGQbTxrJOWVjoSSozdExC4KXlvzquWZ5tzOpFRpsEHL9uhNLT33vsiK-9rcLvqF5dtzdzIjYNT2T9c6PhiHxZAFQrcMJDcwDexDjqutGGuFCCIkoqeLQuBtx2Xe8dJCRWFyBF1VyRpmDvLao4lpydn3vgKwOZznECfKZ2g0m3pcRptAT-5Mft54tF43RSHLdc&__tn__=%2CO%2CP-R
pfbid02nX1wJ4iXmoDuNbyNQwaxKMbZe8TsVfs8LEKe2JSi5iPctyk2ma84L6zJTR56TeTMl,Arnold Schwarzenegger,244,3900,411,0,0,0,0,419,4730,432,"Arnold’s Pump Club, my free daily newsletter to terminate all the noise and negativity in health and fitness. Join us at the positive corner of the internet at the link in my bio.",2023-07-17T21:40:00,['blob:https://www.facebook.com/3d647352-1a26-4694-9c21-8622b1d85b61'],https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/arnold/posts/pfbid02nX1wJ4iXmoDuNbyNQwaxKMbZe8TsVfs8LEKe2JSi5iPctyk2ma84L6zJTR56TeTMl?__cft__[0]=AZWTGq2WejaUh0t2TTKy1sc2Q4vGptpPFidg1Sak3CSbLHsgS3A6YfFrendL9HOc85LdcCYTVOlw0qEMzhIOjyoma4ZTNUdmGbP6sTvKzwamwU9ZS2g5yJecLigUbEmitCsnHaHudLW81x8J58GYHSqt73vcJxVzHqeYLKVFgHonOXPXrj7fw-yPaUs5dO7twJrOlUk2YzKi9P2Y4rOdsRpm&__tn__=%2CO%2CP-R
pfbid034hZxZ2Yn2CE9PBawV45U1wK7791XgoyWwA5Wyep7rQ3X43JR5XVQEjzi5bSABrKVl,Arnold Schwarzenegger,227,7500,1100,0,0,0,0,0,8600,1000,"Enter for a chance to win an early copy of my new book, ""Be Useful."" Click the link below to get started! US fans only! https://sites.prh.com/beusefulsweeps",2023-07-19T16:57:01.795671,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361615751_831301398356928_4273196463539312453_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=YHoWKVcE37IAX8VQZOS&_nc_ht=scontent.fsog1-1.fna&oh=00_AfAZS9jhv8OJmZUMkLhLAI2wW8c3ch1eRoMRUYiCHhRFRw&oe=64C5ABA5,https://www.facebook.com/arnold/posts/pfbid034hZxZ2Yn2CE9PBawV45U1wK7791XgoyWwA5Wyep7rQ3X43JR5XVQEjzi5bSABrKVl?__cft__[0]=AZW47C_PDOiiT4t7oW2Jq5fHLPeuSsjh0uLCP1ZJoqTwCPDuS6BJ6TImggagnRJCuKBc3cWbh8x72kOHFGC4NiXDtKJ5FwkyRXHZ0LM2ea20Xk2YefcakmbeQ-jxZ8W7McXoRBIKoiTkkdp-jCb5smZ56P-fjhpm3Qnu7mmpM_W8cdmgEJ-FdHCxdHcWrk00zC1H587v_pFT28vK4pqm54Qd&__tn__=%2CO%2CP-R
