id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid029ftZr7dARWgQKrWkSGfBHmaCCXVpcgznbVhDSvfKb17Tt7UEeUqDPBbyPFmPq9M4l,Arnold Schwarzenegger,140,5600,784,0,427,0,0,0,6811,336,"Ralph Crawford was a great artist and a fantastic friend, and I will miss him. He will live on through his sculptures all over the world and through his loving family and friends. I am tremendously proud that Ralph’s statues of me stand in front of my childhood home and in Columbus, Ohio, and we will continue to give the best bodybuilder in the world the trophy that Ralph sculpted at the Arnold Classic every year. My thoughts are with his family.",2023-07-17 00:00:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361616399_830382065115528_4241291091548422165_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=9cgNfH1eSswAX_SUAcy&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCi45tA_CQFxTyVXxLWDQFjCZbeaedcP6gXISvvyEfqtA&oe=64D0C6C8 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361615871_830382071782194_804818438600999798_n.jpg?stp=dst-jpg_p480x480&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=u60OA0BHqdgAX8hJZEa&_nc_ht=scontent.fsog1-1.fna&oh=00_AfA7Gmk-nFNjhDg5RCS4ZzapMCBg2_huiSGVypnO22NJEg&oe=64D12F18,https://www.facebook.com/arnold/posts/pfbid029ftZr7dARWgQKrWkSGfBHmaCCXVpcgznbVhDSvfKb17Tt7UEeUqDPBbyPFmPq9M4l?__cft__[0]=AZV3rF1n6jjES5aunxwQ75v_7jZEsik9Rz3JEigfeZppJXXOapCZdTM3RuEkp4RhNGabNp8bKbFEQYEpaw8bnfJB2JTY1_iYwZN7vlE-DRPqpVxfHzHosl52Q9b1h5Es8HXy5nXym7biw_62LxGomuE_ePnohg_E7ur86AgwHV8Jeadsm5AOSFOsLkKpQA9y6GmGZs0ntG_iyXeJ8fPm_MvL&__tn__=%2CO%2CP-R
pfbid0ikiFkyaRUCq4jdCJ43GEa3WXfaZaqi6hkN5DgGpdAZK93bQU6f4kbNsN2Z1J5D9yl,Arnold Schwarzenegger,268,4200,442,0,0,0,0,438,5080,457,"Arnold’s Pump Club, my free daily newsletter to terminate all the noise and negativity in health and fitness. Join us at the positive corner of the internet at the link in my bio.",2023-07-17 00:00:00,['blob:https://www.facebook.com/7d11e7c6-e29b-46f2-8b07-c97c203d0106'],https://scontent.fsog1-1.fna.fbcdn.net/v/t51.36329-10/361409492_1029008214934845_5415759487629548941_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=NcC5A165wF8AX__N-7p&_nc_ht=scontent.fsog1-1.fna&oh=00_AfAmyCEsjuNK-LaOirgD4Wxx0gp0Q10dNhfDWD_naQv0Jg&oe=64D158FC,https://www.facebook.com/arnold/posts/pfbid0ikiFkyaRUCq4jdCJ43GEa3WXfaZaqi6hkN5DgGpdAZK93bQU6f4kbNsN2Z1J5D9yl?__cft__[0]=AZUb2yoJK93UfW7cN89s4BykV5Wn3keD-l8X7xxozzcizPGbmqjTz_5lsPD_uYgLW2a3aiAsd4FMtqMHzNfKR2xQwh4ltXgAJQMz50U2XtkYjQn1eT0_CNljePJBp5XM5l15wNlaIYQTB6UILVm8Nubx074b1fzcc1BVcSCQceOUiXCzO-4nfQxThWILcMqw2TyF7eNIbvyYf_DFb9Ezl4Fu&__tn__=%2CO%2CP-R
pfbid0zwGH1wQfiYvhDgdj9fLK7VkT2nEh15WEFYPgz9XKJ7C7TLvipajK9YUZrABpsRXFl,Arnold Schwarzenegger,266,8400,1200,0,0,0,0,0,9600,1200,"Enter for a chance to win an early copy of my new book, ""Be Useful."" Click the link below to get started! US fans only! https://sites.prh.com/beusefulsweeps",2023-07-18 00:00:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361615751_831301398356928_4273196463539312453_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=a--r0-ts5uUAX99sjnY&_nc_ht=scontent.fsog1-1.fna&oh=00_AfArmn2fP0Wyk6vUNnnWaYns17rD7hB5jGNgDQq5IUJjiw&oe=64D18925,https://www.facebook.com/arnold/posts/pfbid0zwGH1wQfiYvhDgdj9fLK7VkT2nEh15WEFYPgz9XKJ7C7TLvipajK9YUZrABpsRXFl?__cft__[0]=AZUlx5k7GyUFa0XmSim3rabmyvK1QCmU6ff6MAcrjiRn-6khz0ILExDAfnoRDyq_RvLrMOV-Kimb5T7DFy1Fhbgz9Ybki_rJn0Xi21zJNRcdgGplyiS_dpDXj_ajpUiWy1Bm_Gd18-Jd2Jwnyrrj1f1ToQzArcoHt8oQATHLlRFub3Ko-9r-aPGAIwmQ6FpxCVuMx83H0qQkhb4tdDS9b_eV&__tn__=%2CO%2CP-R
pfbid0F8ARvGEeQwfrzndeNABh29T7uMhNwVvc1HJey6TH5BgpL1HAeNCuBvkTzeJ8QjrBl,Arnold Schwarzenegger,60,2600,407,0,0,0,0,0,3007,281,Last week’s newsletter challenge was to reconnect with an old friend. I practice what I preach. I had a zoom with a friend and old competitor I hadn’t hung out with in 50 years. And it felt fantastic. Join us at the link in my bio.,2023-07-19 00:00:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/362222559_831710718315996_7516030502066471494_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=MJthtVIA7hMAX80xxuR&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCrjY_MHhk3adFPsgGI1zaKF8NLMRPxDkHzG-9xE07Iig&oe=64CFB9B2 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/362233029_831710721649329_2299954112496093390_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_ohc=Yx9OdsrsFLUAX__U6r_&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDhdbEc4das44Pg6u3MIox0vHjP0OUrc6ll55nd5NdWYQ&oe=64D122CF https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/362235197_831710714982663_4780201947620960309_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_ohc=Cc6MMDrU9hwAX82uU2y&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBQcKtDkTa6XrNs67frqYFAXoBO--yj1Vsde9mvEsdP9g&oe=64D19308 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/arnold/posts/pfbid0F8ARvGEeQwfrzndeNABh29T7uMhNwVvc1HJey6TH5BgpL1HAeNCuBvkTzeJ8QjrBl?__cft__[0]=AZWDjFUTeqAeXWeQaFkCayX5My5cMmLhDUJUYECXX0qfW74JMJHomMVcKZFK8JrPah-xiNQQ1CQBeDoXEtNgXIeMs1M-_PGHyUVJIsbcy12PJDJ3cFLteNRaumFRZYwbTCDaNienbV309lsDDCHam0YxCOD8iN4TUCWUr56oahNfES5C5rUUbGwqZXulMRZO4tErLVgxzEV1TN7NbG1jDFXz&__tn__=%2CO%2CP-R
pfbid0GT3hQwZyzCL92wme9gooc2VZjqE5kEvaYoZEcSoTP4R5x5WPGJHJG59gczpxWvvCl,Arnold Schwarzenegger,54,2300,273,0,0,0,0,425,2998,147,DON’T MISS OUT! SUBSCRIBE NOW AT THE LINK IN MY BIO.,2023-07-21 00:00:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361263325_832314878255580_7838579420326530958_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=MAR9sAh6fxQAX-ZkBzc&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDzgNDp5XJyMKK0UCiccNkN0cUMqJVTIGDnl7iImrHR5A&oe=64D1384E https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/arnold/posts/pfbid0GT3hQwZyzCL92wme9gooc2VZjqE5kEvaYoZEcSoTP4R5x5WPGJHJG59gczpxWvvCl?__cft__[0]=AZWAArwX53Yx5gy4-IVdymfbZpoeEH9AxpqsltbNbkiqzD7dDn2jhiRKYVESljCaiLvcncanJs5U70STvwgRqgnCyZ1_xp2sHol2ZJJqQngAC2k8_Qm-Osrm8vQHAgsDJm_m5OsmusvoJ4rS1BI12tMh4DfFbJRp-fwUfoqDE9OwiPsT2iL9uGvcDS_fWzTGIrJYBqZpFLfrHvm7FYxBy7k0&__tn__=%2CO%2CP-R
pfbid0YrA8FyZD9zgo9aXvWiAKeFeG7YFrvtQQVoANPdnnU4MdUw5gDr8DUGQUVL3kcWUsl,Arnold Schwarzenegger,0,12000,2000,0,0,0,0,0,14000,0,NEVER forget leg day. Join Arnold’s Pump Club at the link in my bio (it’s free).,2023-07-21 00:00:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361564828_832747181545683_2681925859302867921_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_ohc=GkxzfMYrMW4AX_RreFz&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDDb6F_qRZ7Pkjk88-ulXssYYF1C0T4SN6qkE9MGWcmMw&oe=64D005FB https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/361105690_832747188212349_3291072493297121543_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_ohc=fFrFo0KhqBQAX_Krkeo&_nc_oc=AQlv3DwntzO64PKw7eCYE2nzK7s-ITOPYM8Dho2EiDjvPDiXPAI_hqt21Cbw-TUeOJg&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBNM09_dsAFDqgx98naiu-BIHdQUG62uySmi8toRG7ltA&oe=64D16190 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/360134368_832747184879016_6260480832331037447_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_ohc=4g1Xa1sd4RQAX8b15rG&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCz9YzVsItg3lmB9VuVSKbzvuzJt5m8TCJpKctyiLreAQ&oe=64D04D1C,https://www.facebook.com/arnold/posts/pfbid0YrA8FyZD9zgo9aXvWiAKeFeG7YFrvtQQVoANPdnnU4MdUw5gDr8DUGQUVL3kcWUsl?__cft__[0]=AZV-DCBcvkIxpAicGgSZOkPLiu--jxzz6TLXJ-3KBkRwhdgh0CdX-fJgKWPGpiHJKSsZ42a1EncffVQ6XDpsTdjT3_igZZ67WpKNw4EaOLpD2oELpLhwPfUSPEMVPAORLyl7qnL_4iumcFM99nw-odpa8FcgsILjzfle8ek96j7xd4ExIXUIhQS5DqnFHw2rSc68Y9NATx96wzZIt2xvsepJ&__tn__=%2CO%2CP-R
pfbid03qLdBqCt4zD236qLKDnJbqiAhT6phqeLJsLZE5e8pQpx8AzYqGKJNQKBE1z5Z59Jl,Arnold Schwarzenegger,716,9100,1200,0,0,0,0,0,10300,603,Fitness is for everyone. Join us at the link in my bio. @arnoldsports,2023-07-25 00:00:00,['blob:https://www.facebook.com/9bc5511b-5221-4f2e-a69e-5098a88ea52c'],,https://www.facebook.com/arnold/posts/pfbid03qLdBqCt4zD236qLKDnJbqiAhT6phqeLJsLZE5e8pQpx8AzYqGKJNQKBE1z5Z59Jl?__cft__[0]=AZV5ZKTthV2AUtamU2-TOjJdKViNug24SdyA5VQd-J-mdAXFJhndfDCCSCSdksYwKEwKqm7rtK22ZpXQBOBA5shqMKFJPVOIt1e1ouKIBvzVD9qlLGuOO0ObZTg-uDUJNPM_12nGipxPPdMAxdE0rkcvtjbY__50eKMYa2gSIr4qtjkmCeJ75w0tCFZWPbV1MnZS11sz0vzrxy_GWHRi4KxU&__tn__=%2CO%2CP-R
pfbid0Um4cBz2Vfi4R2Rjjx4xEYxxW3f1MtnckC8MsmaAoAbY52y4hQ1hVWtrjvUADE6TBl,Arnold Schwarzenegger,612,8900,1100,0,0,0,0,0,10000,851,"People always wonder why Franco and I took ballet lessons. At the time Pumping Iron was filmed, I had already won 12 world titles. I’d won the Olympia for 5 straight years. Why try something new? Because even if we’re the best, we can always be better. Because we’re never going to be perfect, but we can always make progress. Because I believe the joy of life is to always be hungry. If you want to be a little better every day, join our village at the link in my bio.",2023-07-26 00:00:00,['blob:https://www.facebook.com/98fc4132-816d-43ce-af92-02b93035f8e0'],https://scontent.fsog1-1.fna.fbcdn.net/v/t51.36329-10/363792847_232534709427732_6309895625236224394_n.jpg?stp=dst-jpg_s960x960&_nc_cat=106&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=HpTCy_AkfrQAX8IakiU&_nc_ht=scontent.fsog1-1.fna&oh=00_AfD81DaOFC3VBGoCH80dTq5Fqo-UfKjutxxcP4nJ8eV5GQ&oe=64D03D30,https://www.facebook.com/arnold/posts/pfbid0Um4cBz2Vfi4R2Rjjx4xEYxxW3f1MtnckC8MsmaAoAbY52y4hQ1hVWtrjvUADE6TBl?__cft__[0]=AZXtDEy3Di0cneUrKNybcknyGs6vuR42J-wfP3COvJ6BuGqmQj2fC48mcbFPZb3hhNBCqCXzoe3EG4nEF5E3R0zOLeGpSV0o0spwh1fOs7KbpyLFAk3zr9V97AcT4KXTBWXW56tsexv0qW3o6h_O955O-VWDFKjDqyZ-GnxbYrXv7vhygwCW_qlVxgn0QuHF3Ms2INJC4gpynXl0VRsg4dvP&__tn__=%2CO%2CP-R
pfbid02MMkrv5GGpARzEuedMT138B4vejSSNMq4aMycK6wLTjoy42GBex1eDSqzfidL5R5Jl,Arnold Schwarzenegger,1200,28000,5700,0,0,0,0,0,33700,5000,"Thank you all for the kind birthday messages! You made my day. If you want to see my birthday wish list, link is in my bio!",2023-08-01 00:00:00,['blob:https://www.facebook.com/aaa33c95-64d0-46de-85f8-a026fd9a76ca'],https://scontent.fsog1-1.fna.fbcdn.net/v/t51.36329-10/363483701_1335591050692791_2939534084922324501_n.jpg?stp=dst-jpg_s960x960&_nc_cat=1&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=_wOK1Vjqv6QAX-ZxM9I&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCiaRR_MiWl9vE8dp4wspKZIoXVQJXWKQtqMgkhf8IZAA&oe=64D0DA46,https://www.facebook.com/arnold/posts/pfbid02MMkrv5GGpARzEuedMT138B4vejSSNMq4aMycK6wLTjoy42GBex1eDSqzfidL5R5Jl?__cft__[0]=AZXccunIexOdTbn9exXtjd-69_Oi42SMA-L0dyt9JaMmkO-lG4AcoMdLVyQ6fxX6128KFztn9imb67D_N7Y9Etu60RgR8Jx2AA63IWzvlL4bVNis5CfJSdmBBKKRU0uxelLIvtC39FlIjh8fVdtSCbeBbCAJKjPhH_osUWaC9oTa8IztUJGeyRHKeLeyyfHwrgRg4nYGaQGTPyyTWbtXmOfO&__tn__=%2CO%2CP-R
pfbid0g3zisPAw6jMCw2JxwYGPAEFsLx4rNyDs3P38tNQLUwFTCHqAQ3n5q1S9D9ARDg7jl,Arnold Schwarzenegger,294,12000,2100,0,0,0,0,0,14100,809, Free Less than 5 minutes a day Health and fitness info without BS Positivity the world needsJoin Arnold’s Pump Club. Our village wants you.,2023-08-02 00:00:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/365406628_838690094284725_8384190132151180877_n.jpg?stp=dst-jpg_s640x640&_nc_cat=1&ccb=1-7&_nc_sid=730e14&_nc_ohc=MG_lsLrtQWkAX-N9fqT&_nc_ht=scontent.fsog1-1.fna&oh=00_AfAT-X6_MOKQ746pOvan3FTzZwVSVQ3x0aCZb5kRgJ1acA&oe=64D08410,https://www.facebook.com/arnold/posts/pfbid0g3zisPAw6jMCw2JxwYGPAEFsLx4rNyDs3P38tNQLUwFTCHqAQ3n5q1S9D9ARDg7jl?__cft__[0]=AZVqIc3O50DklzZgVXikGN--lVvvGx6j_J-CWeHX_qFMz7xzyigYUDn6mVjeej2HepMkTExF6KOOJLkLTqsDxwUVzUDgLtOI5rX45r3uDvnz45HhWvtl4saKDKXX0guPL8OskoNhmKf9L_ZcMntdxMiu9drJbHieZQh-SY6ogaqJ3v98-icOt3LKsJX-fFhJ5N3CRJ7caE8sXUreKGGeU1ni&__tn__=%2CO%2CP-R
