id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid0wcqF2xSyDLCtKVgATwDDXBAYAUVM3pji2iCw4W7hfwpidmwvpN7cHzjnkVm6Jzwgl,Katy Perry,234,3600,3000,0,0,0,0,0,6600,712,"KatyCats, I  you andyou! The Katy CATalog Boxset SOLD OUTin less than 24 hours, but I JUST made a limited amount available Order your individually numbered boxset at http://katy.to/KPStore… but seriously hurry – cuz once this batch has gone, I lit can’t make anymore! ",2023-06-22 0:00:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/355697917_859832822179457_1882069034641088368_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=0QxoW-cL4ogAX_wUxPJ&_nc_ht=scontent.fsog1-1.fna&oh=00_AfACS30mtWi5kwPyuJuYaHdHzsGUeb3UvEg2HoIw8a35hA&oe=64C91D6C,https://www.facebook.com/katyperry/posts/pfbid0wcqF2xSyDLCtKVgATwDDXBAYAUVM3pji2iCw4W7hfwpidmwvpN7cHzjnkVm6Jzwgl?__cft__[0]=AZUj_ub3MGi63KHykQHHr7gsffe7isPkbO5qXEacB7O20CBjfXMD1sKs1Xae_YL8WsFTbuV0_Tmf8cxLiGHWEvIw-yH1l37PIbnXPIWHv3aRzPcwbif2GwWnsVg4tn-gCvGSXlYz9LYgjpapPZBsjmJRc9giCqU65McfKl9Bl8L8dD03Vtb-nCJM1jxTb4JaBCXDzW85eMvu1-qIzVHSvSUq&__tn__=%2CO%2CP-R
pfbid0bxu1KWXQtiunxZjNW9FkWsXQx5c7dno9Bk4caEmKhFzmLtXbJP1Ja7JYT7R9uJqQl,Katy Perry,169,2700,1900,0,0,0,0,0,4600,821,"In case you missed out on the box set  you can still get the anniversary editions of all three records sold separately here: http://katy.to/store Like the box set, limited supplies…when we out we out ",2023-06-23 0:00:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/355684744_860388358790570_9131452832482384748_n.jpg?stp=dst-jpg_p600x600&_nc_cat=105&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=oAEC-5fqMn0AX8GUaY9&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDIE33xuNJuEhuRx0a5HyXndoS4VLlOaTBomToMAA71zA&oe=64C8BBCE https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/355707897_860388388790567_174774857459438634_n.jpg?stp=dst-jpg_p600x600&_nc_cat=107&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=7ehSlm6THHQAX91tS5q&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDgSmn2shZtoYBmLPTYRtrhzuGhHLCiYtclkuQY4PUphw&oe=64C94B4B https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/355681494_860388412123898_2126667327216478376_n.jpg?stp=dst-jpg_p600x600&_nc_cat=110&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=mP9HIZT2hToAX-2InzC&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDfYnJ5UjAK9y5Jw1xWAT1YRDkqGBfdX-wdXct6uJuzHQ&oe=64C8A912 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/katyperry/posts/pfbid0bxu1KWXQtiunxZjNW9FkWsXQx5c7dno9Bk4caEmKhFzmLtXbJP1Ja7JYT7R9uJqQl?__cft__[0]=AZUhMlFh_mCwblLKTgD4WHnACKIGO8WVQh3hB3j1XWhopv3Px7D-wGRjKSE8UJje2YTdyDqq6wQYr5zskF36uw2op--TpNrh_cjhRip9w2QAZUWkDTVH7QdGTTBVelkayjwzzkx0uBZgUQPC1eEZKbHcvDzNkA1PXvQ0Q7uo6OJbAcQp8qsABLQXZ7PTK9KLh8zgZV-eDdsPxJomthETBLSz&__tn__=%2CO%2CP-R
pfbid0Mn7FGcMNZJrtzbXaRiyxSkDyhzdhYyXdFHrQbgbz9Mv4yhAoxy5pcKnT3jHGnKtFl,Katy Perry,186,3900,1800,0,0,0,0,0,5700,817,"Daisies, Daisies, Daisies!  #shoesday #shoes @katy @love",2023-06-27 0:00:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/356862453_862562385239834_3945302911770151437_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=O3c5ID33qWIAX_Zmir2&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCOwoS4r3tjN8LuOT_bLCmmKh3La7sQHVcND8ZF14asEg&oe=64C85807 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/356073611_862562391906500_1881175645195123475_n.jpg?stp=cp6_dst-jpg_p370x247&_nc_cat=104&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=FW19cqhpDr8AX_3ZFCa&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCjKeXEJ-drV3FIWhpaIGL6UXqPoSPVxJRkkBj67H75sQ&oe=64C87F5E https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/356813901_862562425239830_2155713248421992912_n.jpg?stp=cp6_dst-jpg_p370x247&_nc_cat=110&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=KZ9CktqjFIAAX8JFLv_&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBcFWA3SRDOmBw4o92N3ykTbcMUlopQV-TKEk0qR49qMw&oe=64C87C14 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/356841544_862562415239831_3274524696828986301_n.jpg?stp=cp6_dst-jpg_p370x247&_nc_cat=102&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=mza-EBO5WLEAX9GMQFG&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCgIsOsl3ClpPX4e1hdbaahf7t15PpLykU-2kZFlCZJlg&oe=64C9C6F4 https://external.fsog1-1.fna.fbcdn.net/emg1/v/t13/4440188403484057244?url=https%3A%2F%2Fmedia1.tenor.co%2Fimages%2F4bcb4d2ab4bca0dcb15228ed854392e5%2Ftenor.gif%3Fitemid%3D21800467%26t%3DAAXECpwagcwKrTpHdQPb4Q&fb_obo=1&utld=tenor.co&stp=dst-gif_q75&ccb=13-1&oh=06_AbH9neTObeR8W9mFX7-mspY7_7sngsamGiUd8DQI3OCIAg&oe=64C59191&_nc_sid=645d17,https://www.facebook.com/katyperry/posts/pfbid0Mn7FGcMNZJrtzbXaRiyxSkDyhzdhYyXdFHrQbgbz9Mv4yhAoxy5pcKnT3jHGnKtFl?__cft__[0]=AZVlKxPJoO1SmmahGW4NGPtusav1Cxe0FJPcVyWqnOcat6oTMg255PVFlNh6Rzta6p9IkLucbsyByOWqm5YXXBqtydodt_Exv0zgdUwCbVmKr_BTJKE0FsvYtPxjHMOS3MBUNpLqZULGuuyow1cnKyZj3HpE_FlwxHqOSaw0A8aSTkL7aFwW4s38wQYo3T5VM6hMvTsu0vlZSSnJMFzcuj0H&__tn__=%2CO%2CP-R
pfbid0bDyeSdGtCop5qa4j6VXJdugNye7XC3mkzZKGQYFU4szykdfuFSBgB9KdCTqSK2H3l,Katy Perry,168,2900,1200,0,0,0,0,0,4100,1400,Add me : http://katy.to/myspace,2023-06-29 19:19:00,['blob:https://www.facebook.com/c909d9c8-592a-49d9-9b21-41b3489df941'],,https://www.facebook.com/katyperry/posts/pfbid0bDyeSdGtCop5qa4j6VXJdugNye7XC3mkzZKGQYFU4szykdfuFSBgB9KdCTqSK2H3l?__cft__[0]=AZVzOxcb2lo_pfsOPS_jWEWSprnHp7l-VPmIa49gHIM--tI0faCRJQdKk2yHGraMpmmGK2bZWl_JFtqTzZt8XP1SsK-g87lKo7NJY8mXmexrzHc70Hckl-rMT0WHLZaGdsaQAfmUu1L6EkynCVP5-gjMuUz9g4WFINJVelJwiP5q7T2ijBNYgqFlOkLyG9kjfOBnMWO6fb-qNiNqPpnK0JEp&__tn__=%2CO%2CP-R
pfbid02eUoRH3x9mGA4JocKQTNtwtg8xDucbR89hf5R42bCAF811YzvrVArVm5SK5LPhtPfl,Katy Perry,128,2600,913,0,0,0,0,0,3513,979,"Stay gold, pony gal  (or blue, or black, or biscotti ) #shoesday Katy Perry Collectionskatyperrycollections.com",2023-07-12 1:33:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/358582775_871313174364755_5838909228204029471_n.jpg?stp=dst-jpg_p600x600&_nc_cat=102&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=UudVJZ7aiAEAX9FWHt-&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDY84ZWqRn_u0TiJKAPhr2p7CB4EIQomAB8_BA5PEicoQ&oe=64C7FD95 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/359800581_871313187698087_4198675649341104792_n.jpg?stp=dst-jpg_p600x600&_nc_cat=106&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=OxztvHxr9qUAX947vcW&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBhPJu1BgZrwWQzd1i4uAve4mk9v0PTBAyR7UhjKZ8cZw&oe=64C80543 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/359434556_871313087698097_2412699984459026829_n.jpg?stp=dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=--uwEN5ocj4AX-BrDjY&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBHAmDb-0WaBS5CttOLOOJtUd5oJ3F0_5ryNC7aB3YWPw&oe=64C9C809 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/359216161_871312864364786_8591435065753734542_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=wdgUIEH6mY8AX__e_di&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDN2rKXcWegfi1N31lV3RJ7F_kRaDnjU6_Yo-7mbkYMEA&oe=64C965C5 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/359420736_871312447698161_6851119212680837524_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=ZjCR3IfKS2AAX-2wdDz&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCIakD_OsNi16U-XXIIjw-oVLxzuRzidJrTsk6BKAYaXw&oe=64C9D3B3 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/katyperry/posts/pfbid02eUoRH3x9mGA4JocKQTNtwtg8xDucbR89hf5R42bCAF811YzvrVArVm5SK5LPhtPfl?__cft__[0]=AZUfr2-jinHa09Z4N-5Peno-PuFL4YCsLgh0Rlt9UZJcguYoZjVFKRmbl_GSxD18XLs_miaw8TZ99erlrVuZqxcmugNfxdPSRcVjIlQlWE_WcW0hIl2tEZiK0rmtPiFSUqDOLFvwny6H16QdKWySIzHJgZ6mJ-9xLvusHd50ZE7Hv_ICpHp8V3ME7lll0Ce2XKFaTorUlOtx_aV2P-0tQwvB&__tn__=%2CO%2CP-R
pfbid036NDp5L3izDeaFUkv2RtqFaPocZNezxKYUFphGMiGiscjiAbpsZkM2pQq7r375qBdl,Katy Perry,0,6500,1400,0,0,0,0,0,7900,0,Start your week with a little sparkle  CYN’s Where Do All The Diamonds Go? song and video are out now  cyn.lnk.to/WDATDG!KP,2023-07-18 2:00:00,['blob:https://www.facebook.com/779e84df-657e-40d4-a393-63200d5f56b5'],https://scontent.fsog1-1.fna.fbcdn.net/v/t15.5256-10/361078982_132608086539373_7941557113023218786_n.jpg?stp=dst-jpg_p180x540&_nc_cat=109&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=S5BgfBWINeYAX9wPSmM&_nc_oc=AQmE13cJ1qjTtbwL24yph3kY4O5Mooo-GqUQaldOXgqf75WOKpQpqwHeDCNGUSRAV1o&_nc_ht=scontent.fsog1-1.fna&oh=00_AfDEMhMEgpmAvGc8gc6WSwKtU9I2h2VBGknYRdXmshSOnw&oe=64C87EB2 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/katyperry/posts/pfbid036NDp5L3izDeaFUkv2RtqFaPocZNezxKYUFphGMiGiscjiAbpsZkM2pQq7r375qBdl?__cft__[0]=AZXPvvRhPym0A2v1txhTiS2X4lUhH8-4MYBn9-oxSIbnaKXZ5RU9cmba6BNCyf1DW4ax0DUJjHQVjQGzfwas30zBNy2MvD-p6Do1zoAVmBOvcuEHHnKSxe1UDJakaWYmS25Nf0vaGIusv7fYQPTzor8Nfgfn0Gan163s8SHdDXX-QKMrAObXFBxPXPcY9fuwXnibVqCqWSsqdOjabPliJfAv&__tn__=%2CO%2CP-R
pfbid0aVpg7dayh9T2q6c9xDuAZjJdkjubNTr88gboyXpkoBv2XwGoCWg596cG6F2gLzCpl,Katy Perry,0,1400,407,0,0,0,0,0,1807,0,This video is giving FACE Michael J Woodard just dropped a new song that’s out now! https://michaeljwoodard.lnk.to/FACE!KP,2023-07-23 19:02:28,['blob:https://www.facebook.com/9dc66c2b-8f85-49df-8b29-3bdb0c799ae2'],https://scontent.fsog1-1.fna.fbcdn.net/v/t15.5256-10/358713263_811637300344930_2484543914062087135_n.jpg?stp=dst-jpg_p960x960&_nc_cat=100&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=RqmYFzTBNLAAX8-pbCw&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCOxdWgBulT2LT_zChXQHmyuYe0HCc2e1MmukBU77dF2w&oe=64C9814E,https://www.facebook.com/katyperry/posts/pfbid0aVpg7dayh9T2q6c9xDuAZjJdkjubNTr88gboyXpkoBv2XwGoCWg596cG6F2gLzCpl?__cft__[0]=AZUEhh8hJiArLW_nlj462UoSFtiFZQrVi17LmypkGmDNZAKmvmbzUuFm7hFzWnssFHC-VMK2R2ISB43k36aMio0nOKJPdtNlVQRxaIkbePGsyu-xkB4sPrL6guflyFzYT0Do9xfoGINhREi_TGbPqME2HCCOT08GVZPcme6ZcZf1gn-gv-TV5v07GevEsh1WvgsrBWqNSIp6mFVXQ3fcev-p&__tn__=%2CO%2CP-R
3.60005E+15,Katy Perry,85,901,387,0,0,0,0,0,1288,208,TONIGHT! Join us for our 2023 #CantCancelPride with P&G!,2023-06-16 0:00:00,['blob:https://www.facebook.com/97ef3d13-2a98-4ce2-869c-1d409f459746'],,https://www.facebook.com/katyperry/videos/3600045123561310/?__cft__[0]=AZUTqcdSeDrueHoCV_3O9NGt2eBLJRL-dPnW7qQWBTwswDwh_7GJ7zLGQOQGBDNVp5qR8rvjkjDcEjsCWvInXJ5ACb7wZfG_w9NqJuLESTFODWFZl_65AAyHRZBqXq3PelKUt827QA4HS_yTNchtxPX2RNNcRszWj4cQxZGibQ5kvHF7TfHpZYbfCvYLzjG3_IPPVnhYCVsLPKduUuDvtwel&__tn__=%2CO%2CP-R
pfbid0SbuS1qyy3GXBFWhzD4EUHvnZtYK7PbkiD7FYSkNvgLyT12acUDgYMQwqHrdAnnEMl,Katy Perry,119,3900,1800,0,0,0,0,0,5700,348,"One of my greatest passions is the ability to pay music forward through my arts based foundation  @fireworkfoundation! Was amazing to be with so many young people and see their spark ignite at camp earlier this month Remember, you just gotta ignite the light  #FireworkFriday",2023-06-16 0:00:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/354048742_856639719165434_9207519342123194709_n.jpg?stp=dst-jpg_p526x395&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=zfWbiKE76gYAX-jsxUG&_nc_ht=scontent.fsog1-1.fna&oh=00_AfD3b73UsZTvBbHzW7fLtJPCQtaTJUY4HKrb3X49eJMMCA&oe=64C8F554 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/354207868_856639729165433_4422730520749944819_n.jpg?stp=dst-jpg_p526x395&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=v9uHvzkSeNgAX-Jec5F&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBzw87RmGdVM7utu2va9h5tjIMQviXePf5QydpTPK7gRg&oe=64C960C6 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/354048424_856639722498767_2270243877827291190_n.jpg?stp=dst-jpg_p526x395&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=PJN2PtBRSpgAX8rA74K&_nc_ht=scontent.fsog1-1.fna&oh=00_AfAov_5buCBpQqYGeCXDZ4JBclG4Gywxxc4HwFld7hx7og&oe=64C96D6E https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/354559309_856639702498769_3176039057585184224_n.jpg?stp=dst-jpg_p526x395&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=YlvsGFaAMmEAX8p_7aa&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBwFIHReuz1WLkTYSWA973SNrIjL5uTezY76AIoEmByQw&oe=64C93DE7 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/354556952_856639709165435_3373760032699428744_n.jpg?stp=dst-jpg_p526x395&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_ohc=HLZk0dx2kbEAX9MhHsF&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBVdIOTGHHMwX1aMefRbBNXW46wme5evhwwW2UtEz-GGg&oe=64C8D4FC,https://www.facebook.com/katyperry/posts/pfbid0SbuS1qyy3GXBFWhzD4EUHvnZtYK7PbkiD7FYSkNvgLyT12acUDgYMQwqHrdAnnEMl?__cft__[0]=AZUj9Z12_zzLRrmC4PCFXMEo6h3Hm1XbsyDujobD4GJcrd2gyuZVCO-y4Gtk53UuA3v1HnZz0fxsddXuVbhgeO2qNFuzdPgDHbgrLrOfjDncln8TTgcCwx8P2qChqe3AacHVWCOynGs5Ci0BTXXgTRtOCHOrUXdI_X6bnIzVH14lYte-9jppd36r7nbpyoNUqvwbanhJpIIpNzFtuLuDafTH&__tn__=%2CO%2CP-R
pfbid02TyxL9BJc6nyfpCNUbvWtPnXfSSMWLLvh92tep8kXTW1UWSh54czgL8RmiFZAyusbl,Katy Perry,872,8200,7400,0,0,0,0,0,15600,956,"Happy 15th anniversary to my first musical child, One of the Boys! (I know omg the passing of time is WILD) She may be a young teen but has always had a bit of an attitude  Thank you to all the KCs who have stuck around since the Warped and Hello Katy days… tbh I still think of myself as One of the Boys ",2023-06-17 0:00:00,[],https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/353396958_857166429112763_6238339174357788250_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=hVPlIipBQEYAX92B62e&_nc_ht=scontent.fsog1-1.fna&oh=00_AfBfTc-5NyK9OoAZxjFP6rv5klxRnXGmdqf_jHxwzCCkyw&oe=64C8E553 https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/355006146_857166432446096_7400394756774788795_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=yBsN46GDlZYAX_zMcDl&_nc_ht=scontent.fsog1-1.fna&oh=00_AfD5RvzyhI-90jaGX_EBJXk3XJI4fHYXWF-SCA7EWwO77Q&oe=64C7F8FE https://scontent.fsog1-1.fna.fbcdn.net/v/t39.30808-6/352360495_857166425779430_6835510004384718802_n.jpg?stp=dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=4Vd8YRPTn60AX9Or1AO&_nc_ht=scontent.fsog1-1.fna&oh=00_AfCJbHv0BgwDrZc_rqoAIb8483FiaugTvM4co1SXnEIdlw&oe=64C980AB,https://www.facebook.com/katyperry/posts/pfbid02TyxL9BJc6nyfpCNUbvWtPnXfSSMWLLvh92tep8kXTW1UWSh54czgL8RmiFZAyusbl?__cft__[0]=AZWFFgmlb4arHlyJlqiHeIYshnB9QZmoYqCguY-aYgPZPQRdypkYf6IUnpQhFSVAUA6n_8ojzXKKTbAoMWhO4GhmceQMAM9KAQZPGJiS-5ukEY0JpVlADNbSeDjafhJp1MjbbWDCcX4FbvBynsqKw3FtOxaOEEPVJOqeBD2MHP8NRGEjepKv02uOnvnQdgNjhaBFDBTv2eh6Fn7DRfxmqmzu&__tn__=%2CO%2CP-R
