id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid032XsoeTeCG99mvdRtfCviJGmRbhTxh6cpzKZTwGnwAo8jdfV5kTq3PZsMnJuWHU7cl,Arnold Schwarzenegger,347,7000,956,0,0,0,0,0,7956,419,"These are not just any 76 year-old biceps . Watch the full video on my YouTube channel, and don’t forget to subscribe to the Pump Club at the link in my bio.",2023-08-09T20:11:17.288997,['blob:https://www.facebook.com/e4f6f6ca-396b-46e0-9669-09a0749043ba'],https://scontent.fbgo1-1.fna.fbcdn.net/v/t51.36329-10/363800646_307693518488703_5735910334158306908_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=R58UxJ6HBHcAX--_j0Y&_nc_ht=scontent.fbgo1-1.fna&oh=00_AfA8SEph9p9YsimEIIJOnPBu9bL0fF81Xks3ea1DUSebbw&oe=64DA6032 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/arnold/posts/pfbid032XsoeTeCG99mvdRtfCviJGmRbhTxh6cpzKZTwGnwAo8jdfV5kTq3PZsMnJuWHU7cl?__cft__[0]=AZWJrw4treg9bEP6HkCB3U4w5K06kook16DG08opd-6OYKn9Am01ZubyAIo3gwC-f4ojAaj_ViRBYtBtF_qekJU6VaXV2VNy9JIZi1i8BTZl1F3LI7TK1GrxOYa_OTDGtSj9c4dvrOGya2ijEoDZZC3jRwx94tFdNYmFgs90XvrmPKRzGliBo71zLPfLDdXsAORXSdsuiXAAnq-cE0imWEg7&__tn__=%2CO%2CP-R
pfbid0YYaYYToQFKfqoNP6FLRirEYpP3EdyXnQXairesjH5CsLYZFGp8eVVik3j5oK6Xkil,Arnold Schwarzenegger,6400,72000,18000,0,6100,0,0,0,96100,2700,"I could tell you I am fantastic at everything, but I’d be lying.I just finished recording my audiobook, Be Useful. It comes out October 10. I could tell you how amazing it was to sit down and record my own words, but the truth is, I was absolutely dreading it. Here’s my secret: I’m a terrible reader. They didn’t talk about learning disabilities in Austria in the 1950s, so most of the time, when I was asked to read out loud in class, it was just a disaster, and I got smacked with a ruler. But now I know that I’m dyslexic.When I prepare for a movie, I read the script over and over for months until I’ve memorized every line. I need time and reps to get my mind around the words.They told me authors ready their books in 2 or 3 days at the studio. I asked for the recording equipment at home and told them I’d do 20-30 pages a day. That way I could log in with the director and producer twice a day for shorter sessions and I could practice non-stop in between. In this process, I used my own lessons. 1. I let myself dread it and complain for a minute, but then I forced myself to get moving, because denial wasn’t going to get it recorded. 2. I did so many reps I couldn’t count. I broke it up into small pieces, knowing that small wins build up into big victories, or in this case, a whole book. 3. I had the help of a fantastic team. My own team, but also the producers and directors Nithya, Danny, and Kris, and Eric who set up the equipment. All of us need help; none of us are self made.When you listen to the audiobook, I hope you’re inspired, not just by the words, but by the process of recording them. You can pre-order now at BeUsefulBook.com and subscribe to my newsletter if you want stories like this in your inbox at ArnoldsPumpClub.com #beusefulbook",2023-08-08T13:11:24.788095,[],https://scontent.fbgo1-1.fna.fbcdn.net/v/t39.30808-6/366375069_841494890670912_7258445039019701185_n.jpg?stp=dst-jpg_p180x540&_nc_cat=1&ccb=1-7&_nc_sid=730e14&_nc_ohc=eOhF5v2AoGwAX-gkTuG&_nc_ht=scontent.fbgo1-1.fna&oh=00_AfDC1hy1eWdPpTUb0IPUDaFKcsm4kwFWbyrkTD3UH0D0AA&oe=64D8D315,https://www.facebook.com/arnold/posts/pfbid0YYaYYToQFKfqoNP6FLRirEYpP3EdyXnQXairesjH5CsLYZFGp8eVVik3j5oK6Xkil?__cft__[0]=AZWS6nFTvXZMwYnrLoSNhqVzDyw6Gay_eGi1tExpRdF7PVnALYX4mnm4edQZp85DeCmMWmKjkz3DcVQ1oo7O83kcFPdnLtkwcPPAqwXvdl-kRB53SPFhobZow5kFMIklK1uiat55PuVt_bhGlPcHr_Uc4cpoDz9vRUr4S3cnGCJn00reRRP5VA7wlIERJHDcCFVvXnidANaGFvXjm38Ti0V6&__tn__=%2CO%2CP-R
pfbid02ZxbTZShz26JeunzENPT5q4J92aAPp4q4FwZwB9g4oJgNcYGpxYaUMNzpjdrjFyVtl,Arnold Schwarzenegger,5600,67000,17000,0,0,0,0,0,84000,2700,"I could tell you I am fantastic at everything, but I’d be lying.I just finished recording my audiobook, Be Useful. It comes out October 10. I could tell you how amazing it was to sit down and record my own words, but the truth is, I was absolutely dreading it. Here’s my secret: I’m a terrible reader. They didn’t talk about learning disabilities in Austria in the 1950s, so most of the time, when I was asked to read out loud in class, it was just a disaster, and I got smacked with a ruler. But now I know that I’m dyslexic.When I prepare for a movie, I read the script over and over for months until I’ve memorized every line. I need time and reps to get my mind around the words.They told me authors ready their books in 2 or 3 days at the studio. I asked for the recording equipment at home and told them I’d do 20-30 pages a day. That way I could log in with the director and producer twice a day for shorter sessions and I could practice non-stop in between. In this process, I used my own lessons. 1. I let myself dread it and complain for a minute, but then I forced myself to get moving, because denial wasn’t going to get it recorded. 2. I did so many reps I couldn’t count. I broke it up into small pieces, knowing that small wins build up into big victories, or in this case, a whole book. 3. I had the help of a fantastic team. My own team, but also the producers and directors Nithya, Danny, and Kris, and Eric who set up the equipment. All of us need help; none of us are self made.When you listen to the audiobook, I hope you’re inspired, not just by the words, but by the process of recording them. You can pre-order now at BeUsefulBook.com and subscribe to my newsletter if you want stories like this in your inbox at ArnoldsPumpClub.com #beusefulbook",2023-08-08T13:11:25.850984,[],https://scontent.fbgo1-1.fna.fbcdn.net/v/t39.30808-6/366223579_841497524003982_7112088053428401420_n.jpg?stp=dst-jpg_p180x540&_nc_cat=1&ccb=1-7&_nc_sid=730e14&_nc_ohc=jiPHVZVveEQAX9DWxP2&_nc_ht=scontent.fbgo1-1.fna&oh=00_AfC95ql4vfggXh_4mEJsQPYfEDGX4mD2Lm9jm-jpmVWYRw&oe=64DA0301,https://www.facebook.com/arnold/posts/pfbid02ZxbTZShz26JeunzENPT5q4J92aAPp4q4FwZwB9g4oJgNcYGpxYaUMNzpjdrjFyVtl?__cft__[0]=AZVMUmTlem59lPKTCHbWJ7jbU0xjm7x2ulvxHwKqLKQWlYuyLAWOehGSgKp8Eq5UA5CWOFql-28qg5FKnHSZwILUWw8zyzfatt2p6wjBVAWrvbGT1lxSrWF7vWG-QFO5VX6EyPtd3OfQVKD3u9L0F9M3z59Y5Qt2aNRQVzEfg0vT4BT121GuN-OmkXdpHJOcWoFI7wlMTH4ozjz6rk47YkQ2&__tn__=%2CO%2CP-R
pfbid02pU4LdmJPGPhHxL7utKsVgxZv14R8kSwxkQNkQAFWMgGfzP7Je8rkYiaiCZErkYkPl,Arnold Schwarzenegger,320,6800,895,0,0,0,0,0,7695,548,My full workout with @ronniecoleman8 is live on my Youtube channel. Watch it NOW,2023-08-09T13:11:26.800197,['blob:https://www.facebook.com/6c77e6b8-cc4a-49ec-9028-b51d75b267f6'],https://scontent.fbgo1-1.fna.fbcdn.net/v/t51.36329-10/365994002_862231095516079_3413929497313218571_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=xciZlkPx0a4AX8_5w6L&_nc_ht=scontent.fbgo1-1.fna&oh=00_AfDU60HCIMmSDQZyZQlqwPAcan_9YGeECti-4ZtUT5evTA&oe=64DAAAD7,https://www.facebook.com/arnold/posts/pfbid02pU4LdmJPGPhHxL7utKsVgxZv14R8kSwxkQNkQAFWMgGfzP7Je8rkYiaiCZErkYkPl?__cft__[0]=AZXQVO-PB7q5vRejFlcn2MqGdDl-funiYCkvPhOYH2TXNXJADdWbWkuzuUIU7e8z7hvx18Q1zJf7onDsXmlJyjxFPjh0y1W7kUScUJbcbxmo_eEEETfsxbBHyqAI_RghGqOVAi7zoabucZT0uNQNt7Ec_cNIWcpePqQPwZ_WCMKqZOPKk4a4otHsRcE1fvRha8k-IhoTExO7ObmZ_PyN58Yk&__tn__=%2CO%2CP-R
pfbid0UiZ7sCnV2r1jUhT9fTCGsG5vB3n8SXacdjNCWPo7KW4hZhvoXC9T1ua5qWZnhhAdl,Arnold Schwarzenegger,675,10000,1200,0,0,0,0,0,11200,934,"People always wonder why Franco and I took ballet lessons. At the time Pumping Iron was filmed, I had already won 12 world titles. I’d won the Olympia for 5 straight years. Why try something new? Because even if we’re the best, we can always be better. Because we’re never going to be perfect, but we can always make progress. Because I believe the joy of life is to always be hungry. If you want to be a little better every day, join our village at the link in my bio.",2023-07-26T19:40:00,['blob:https://www.facebook.com/ce035465-39f9-49a9-b66d-7fa1561b7433'],,https://www.facebook.com/arnold/posts/pfbid0UiZ7sCnV2r1jUhT9fTCGsG5vB3n8SXacdjNCWPo7KW4hZhvoXC9T1ua5qWZnhhAdl?__cft__[0]=AZWG0-iP20WeXFtdw8zgf3zGEga1vJMBPo6cSTTvooGZDy1DXPJVGlXJvWRtK0N6qAVjrjr7KT4IYgZlDkDSHTDHFY4u8WNyWSkyi1yYI5aAPhtH8nuzxWZdCgLpjxTM20Rlpl-8bOP9R_C__aJexvBtn79s1RHBOsGBrQLaXbQ5ZxbxOpWw2kxM1oclD_rfSf5UX4zrOYhk_B8ufkELIWs3&__tn__=%2CO%2CP-R
pfbid02MKFNbJ2GBE2enTmXQGmvz8vg71BP4TVUHvVbJbPMk95yD584wgK58o7fjXtURxUel,Arnold Schwarzenegger,1400,37000,6400,0,0,0,0,0,43400,5600,"Thank you all for the kind birthday messages! You made my day. If you want to see my birthday wish list, link is in my bio!",2023-07-31T21:02:00,['blob:https://www.facebook.com/5a3ee50a-ff32-4185-b525-7d8ade1abd74'],https://scontent.fbgo1-1.fna.fbcdn.net/v/t51.36329-10/363483701_1335591050692791_2939534084922324501_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=6zaZEd26F8YAX_6kVo_&_nc_ht=scontent.fbgo1-1.fna&oh=00_AfBtVFuxqCub_uhjVfKn689Oh7zHoJo9iZmaTNjFuoWhvw&oe=64D8C346,https://www.facebook.com/arnold/posts/pfbid02MKFNbJ2GBE2enTmXQGmvz8vg71BP4TVUHvVbJbPMk95yD584wgK58o7fjXtURxUel?__cft__[0]=AZVEPTDGNQ-pRxo4ArrK_bTB2FM48C5-xT7dLfk2MmoKtNYroUoecXxk7OmGQ8SDNg9j8c_7RQ7nJjFGezt_0FXvGjwnf6Qc9Owm-KW3vX9BiQLnZ1jSTbnxxyNnwkAHM_fjFmSLkncpZ3UlsoLomr-dpDnRyXhkNzIr89-nZamF1U7v4UnpFjTD0cLG8KfqPp-OBeCXiNQ0xcQfFWqomGGS&__tn__=%2CO%2CP-R
pfbid02jrvwjGrkKC484FowA2QxC4YcAYbAmxvmNns42zecXFVGbZp7UGFDUW8CP7ZiAEkXl,Arnold Schwarzenegger,442,18000,3100,0,0,0,0,0,21100,1200, Free Less than 5 minutes a day Health and fitness info without BS Positivity the world needsJoin Arnold’s Pump Club. Our village wants you.,2023-08-02T18:08:00,[],https://scontent.fbgo1-1.fna.fbcdn.net/v/t39.30808-6/365406628_838690094284725_8384190132151180877_n.jpg?stp=dst-jpg_s640x640&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=ehkeyoS_C7UAX_b6qdm&_nc_ht=scontent.fbgo1-1.fna&oh=00_AfAuhpqDMIaj1XYfqBQK4cd4nKwSBMOo8FOVvWuPkizOCA&oe=64DA6750,https://www.facebook.com/arnold/posts/pfbid02jrvwjGrkKC484FowA2QxC4YcAYbAmxvmNns42zecXFVGbZp7UGFDUW8CP7ZiAEkXl?__cft__[0]=AZUatUqgHgRKueBqoGkbC7mruFmY7PqTtXZVhFFOF2t6mIVzwAK-YOi0ZYFB5bhbC6LinNazxxi_vTfHouduRfG6iLtE7D8ajW6LvvHDqXTMn3qNElz_NmokG4BUBQjqYgPOGt4-AiLtQWZuvB2M9jiRX0tj5qxxSgNrHHpeNYTfqmzYJjZMbsFDm8gYu0t_rXALsNwzdRnZh_cJeVMm7WZL&__tn__=%2CO%2CP-R
pfbid02cJnBvArwhNgm2G7eSPCWHC1ecxGi95TUF37K2Jf54pmSKH8sLW2FHRfcHPhS3cdul,Arnold Schwarzenegger,7300,194000,0,0,0,0,0,0,194000,3900,We all need training partners to help us reach our potential. I know Franco was looking down on @ronniecoleman8 pushing me today and smiling. Join our village at the link in my bio and I’ll push you every day with a free email.,2023-08-04T13:11:36.791601,['blob:https://www.facebook.com/571ff3eb-db5e-4f1d-bc7d-e9090226c4bb'],,https://www.facebook.com/arnold/posts/pfbid02cJnBvArwhNgm2G7eSPCWHC1ecxGi95TUF37K2Jf54pmSKH8sLW2FHRfcHPhS3cdul?__cft__[0]=AZU07XPuQeRhrOssGtC-WCAFvYwtgLBk1EnuLbtXlmMLCMQzSZSc09s8VjtiSEAdfJmqPVLzaKDiWGUHQbLmSlTsr6BFLEqQ6zIiKl_oXUior5gBjmooR_bn6HWHWYT75YAvaCnuroiWn1VZu76MnrgPcSSXNaSjqJiEWhmzNKeBGe3EAI0XMZ_S5SPdDUahnu3mDEnUFatOBY2fR7amlRGx&__tn__=%2CO%2CP-R
pfbid02owG6gcTwTzcPKg267wCug23mgy3XbbGhdjivQfFJikQLAw2bKeDCwPW1HeL3g3M3l,Arnold Schwarzenegger,2100,44000,3500,0,0,0,0,0,47500,1300,Pumping with  @ronniecoleman8. Get your pump delivered to your inbox for free every day at the link in my bio.,2023-08-05T13:11:37.424533,['blob:https://www.facebook.com/97f51744-7f26-4824-a2b7-e2b961557b47'],https://scontent.fbgo1-1.fna.fbcdn.net/v/t51.36329-10/365413100_1700090853798598_3355460911688664760_n.jpg?stp=dst-jpg_s960x960&_nc_cat=1&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=US0f-uyZSQQAX_0pFMR&_nc_ht=scontent.fbgo1-1.fna&oh=00_AfBWHFVB2Zg4YMMjb10D4AqgN8MWy-p9od0iEvFNU7LCjw&oe=64D92245,https://www.facebook.com/arnold/posts/pfbid02owG6gcTwTzcPKg267wCug23mgy3XbbGhdjivQfFJikQLAw2bKeDCwPW1HeL3g3M3l?__cft__[0]=AZUwoZ8Y6sPrTP-a-B7BVuB5hmNff3ZAT2Scw2pzypqT0pgcCyWyvQURABl3yW1VU5ENx0XMFXqyj9dfzxHwU3hnbJL4flgN8axfTCOMb8rXS8725Ehb67IDUNkciZIcIeZ5T3bzC_5h-OI-szy0OnldYKbuVfxJmE50_p54pq25_d_PcakSCRCR9zVj9FWKAHrO-_LbcGEU-9hEmWy63e8e&__tn__=%2CO%2CP-R
pfbid02NTYDxK9ThTe3CBBwsSuu4GW5kCkx4usQ494Lr1GAjssn1nMPgQjKVEjWsVbHuQ8ol,Arnold Schwarzenegger,0,3300,573,0,0,0,0,0,3873,0,"Happy birthday, Franco.",2023-08-08T13:11:38.072291,['blob:https://www.facebook.com/a9587a2b-c645-472e-a2a0-b70a6116145e'],,https://www.facebook.com/arnold/posts/pfbid02NTYDxK9ThTe3CBBwsSuu4GW5kCkx4usQ494Lr1GAjssn1nMPgQjKVEjWsVbHuQ8ol?__cft__[0]=AZVLLib4wAoyU6hRzm8odj4b4qI9Ur4rCnkFt3ukWiB87J4Gl8SXjZ4tCWrs69EnLf7kaApex0L17s4p6tS2ygjCaxKYsJWklSReq_jM8j6Aev9yE4W7mHc-jhhW6Er0mFbx4FpRJkL6DPJTX6ursKfConN2MSQJWQMs1XEBUz-x9uswB78fJfenwQEI22-DMeECnV5-o8fdFrvhz2lcKmUZ&__tn__=%2CO%2CP-R
